"","School.Name","assessment","Weighted_Proficient","Year","LEA","LEA.Name","School","Assessment","Student.Group","Tested.Count","Proficient.Count","Proficient.Pct","Level.1.Pct","Level.2.Pct","Level.3.Pct","Level.4.Pct","Create.Date","diference","X","Y","OBJECTID","County","PSC_NUMBER","STREET","CITY","STATE","ZIP","Grades","School_Type","NAME","variable","Income_per_cap","moe"
"262","Emmitsburg Elementary","Math",46.0190476190476,2023,10,"Frederick",503," Mathematics All Grades","All Students","101","39",38.6,"14.9","46.5","38.6","<= 5.0",20241015,-7.41904761904762,"-8608263.8903","4822870.6815","1783","Frederick                                         ","10.006","300 S. SETON AVENUE","EMMITSBURG","MD","21727","PreK-5","Elementary","ZCTA5 21727","B19301_001",31450,3203
"263","Emmorton Elementary","Math",59.6280802292264,2023,12,"Harford",121," Mathematics All Grades","All Students","285","150",52.6,"8.4","38.9","47.4","5.3",20241015,-7.02808022922636,"-8496924.4506","4791604.0445","1874","Harford                                           ","12.038","2502 TOLLGATE ROAD","BEL AIR","MD","21015","K-5","Elementary","ZCTA5 21015","B19301_001",57656,2814
"264","Ernest Everett Just Middle","Math",11.5682894736842,2023,16,"Prince George's",1348," Mathematics All Grades","All Students","794","*",5,"58.4","37.9","<= 5.0","<= 5.0",20241015,-6.56828947368421,"-8552675.3604","4708396.3302","1958","Prince George's                                   ","16.219","1300 CAMPUS WAY NORTH","MITCHELLVILLE","MD","20721","6-8","Middle","ZCTA5 20721","B19301_001",70735,3451
"265","Esperanza Middle","Math",38.793025871766,2023,18,"Saint Mary's",807," Mathematics All Grades","All Students","826","278",33.7,"27.0","39.3","31.5","<= 5.0",20241015,-5.09302587176602,"-8514766.6198","4620838.5479","1460","St. Mary's                                        ","18.010","22790 MAPLE ROAD","LEXINGTON PARK","MD","20653","6-8","Middle","ZCTA5 20653","B19301_001",48024,4070
"266","Essex Elementary","Math",24.4377880184332,2023,3,"Baltimore County",1508," Mathematics All Grades","All Students","211","38",18,"24.6","57.3","18.0","<= 5.0",20241015,-6.43778801843318,"-8513708.1422","4766061.7554","1486","Baltimore County                                  ","03.055","100 MACE AVENUE","ESSEX","MD","21221","PreK-5","Elementary","ZCTA5 21221","B19301_001",37385,1756
"267","Evergreen Elementary School","Math",57.706,2023,18,"Saint Mary's",606," Mathematics All Grades","All Students","387","197",50.9,"8.0","41.1","47.8","<= 5.0",20241015,-6.806,"-8523018.1829","4621774.2408","2239","St. Mary's                                        ","18.031","43765 EVERGREEN WAY","CALIFORNIA","MD","20619","PreK-5","Elementary","ZCTA5 20619","B19301_001",53339,4494
"268","Fairland Elementary","Math",29.8684563758389,2023,15,"Montgomery",303," Mathematics All Grades","All Students","261","79",30.3,"19.5","50.2","29.1","<= 5.0",20241015,0.431543624161076,"-8566717.1983","4734706.3646","2171","Montgomery                                        ","15.098","14315 FAIRDALE RD","SILVER SPRING","MD","20905","HS-5","Elementary","ZCTA5 20905","B19301_001",55508,3690
"269","Fallsmead Elementary","Math",72.8539285714286,2023,15,"Montgomery",233," Mathematics All Grades","All Students","273","193",70.7,"<= 5.0","24.9","59.0","11.7",20241015,-2.15392857142858,"-8591239.5231","4732838.8502","2202","Montgomery                                        ","15.040","1800 GREENPLACE TER","ROCKVILLE","MD","20850","K-5","Elementary","ZCTA5 20850","B19301_001",67423,3080
"270","Fallston High","Math",47.0196581196581,2023,12,"Harford",382," Mathematics All Grades","All Students","452","37",8.2,"20.1","71.7","8.2","<= 5.0",20241015,-38.8196581196581,"-8506282.2972","4796723.1392","1726","Harford                                           ","12.001","2301 CARRS MILL RD","FALLSTON","MD","21047","9-12","High","ZCTA5 21047","B19301_001",64367,5307
"271","Farmland Elementary","Math",74.3801829268293,2023,15,"Montgomery",219," Mathematics All Grades","All Students","381","250",65.6,"<= 5.0","31.0","55.1","10.5",20241015,-8.78018292682928,"-8587769.3982","4728436.6748","2273","Montgomery                                        ","15.242","7000 OLD GATE RD","ROCKVILLE","MD","20853","K-5","Elementary","ZCTA5 20853","B19301_001",55810,3198
"272","Featherbed Lane Elementary","Math",12.6584415584416,2023,3,"Baltimore County",204," Mathematics All Grades","All Students","232","35",15.1,"34.1","50.9","15.1","<= 5.0",20241015,2.44155844155844,"-8542458.2534","4767990.3756","2703","Baltimore County                                  ","03.102","6700 RICHARDSON ROAD","BALTIMORE","MD","21207","PreK-5","Elementary","ZCTA5 21207","B19301_001",35043,1956
